x,y,U,V,uu,vv,uv
0,0,2.6007e-15,-3.6929e-18,1.2723e-27,1.7992e-32,2.6299e-31
0,0.00060917,-1.2444e-05,-1.5933e-08,5.8258e-06,8.9494e-10,1.474e-08
0,0.0024359,4.3227e-06,2.873e-06,3.876e-05,1.266e-07,4.802e-07
0,0.0054781,6.2679e-06,8.695e-06,6.4231e-05,1.4882e-06,2.1795e-06
0,0.0097319,1.2524e-05,2.1791e-05,7.2716e-05,6.8481e-06,5.0231e-06
0,0.015192,1.3497e-05,3.3983e-05,8.0906e-05,2.1517e-05,9.6189e-06
0,0.021852,4.7664e-05,8.4796e-05,9.8865e-05,5.9388e-05,1.8952e-05
0,0.029704,9.6641e-05,6.1772e-05,0.00017228,0.00016774,4.1935e-05
0,0.038738,0.00035658,8.2285e-05,0.0015584,0.00057381,0.00010909
0,0.048943,-0.0056694,0.013043,0.025456,0.0036475,9.0995e-05
0,0.060307,0.20039,0.015565,0.052776,0.0111,0.010291
0,0.072816,0.46795,0.027133,0.075348,0.015788,0.016572
0,0.086455,0.68908,0.024081,0.075871,0.017642,0.018122
0,0.10121,0.83466,0.013774,0.066697,0.020514,0.016135
0,0.11705,0.93595,0.0067733,0.062331,0.022332,0.017217
0,0.13397,1.0122,0.0045482,0.065004,0.02271,0.018055
0,0.15195,1.0833,0.0024598,0.064223,0.021943,0.018355
0,0.17096,1.1472,0.0023416,0.064419,0.020748,0.016871
0,0.19098,1.2049,0.00063821,0.061981,0.021402,0.015785
0,0.21199,1.2533,0.0016591,0.058954,0.021211,0.015921
0,0.23396,1.2961,0.0027594,0.057389,0.020964,0.016201
0,0.25686,1.3385,0.0014136,0.057092,0.020534,0.014998
0,0.28066,1.3741,0.0010379,0.055759,0.019463,0.014063
0,0.30534,1.4101,-0.00129,0.054414,0.019063,0.013593
0,0.33087,1.4434,-0.0015971,0.052727,0.019095,0.014044
0,0.35721,1.4802,-0.0044975,0.051666,0.018676,0.01371
0,0.38434,1.5151,-0.0025015,0.048951,0.01784,0.012797
0,0.41221,1.5502,-0.00226,0.047657,0.01812,0.012694
0,0.44081,1.5815,-0.0006011,0.045831,0.01735,0.011989
0,0.47008,1.6141,0.0021171,0.04218,0.01632,0.010693
0,0.5,1.6454,0.0017219,0.038722,0.015582,0.010306
0,0.53053,1.676,0.0012691,0.037094,0.014852,0.0090273
0,0.56163,1.7071,0.0016973,0.033855,0.014592,0.0082741
0,0.59326,1.7359,0.0034463,0.031601,0.013279,0.0078946
0,0.62539,1.7621,0.0028846,0.029998,0.012816,0.0072937
0,0.65798,1.7891,0.0034272,0.028983,0.011865,0.0067861
0,0.69098,1.8188,0.0028715,0.025868,0.011255,0.006291
0,0.72436,1.847,0.0016129,0.023039,0.010715,0.0059021
0,0.75808,1.8711,0.00056094,0.021495,0.010074,0.0053989
0,0.79209,1.8949,-0.00097289,0.019001,0.0097633,0.0047011
0,0.82635,1.9161,-0.00048027,0.016225,0.0092788,0.003908
0,0.86083,1.9343,0.0007669,0.01446,0.0088272,0.0026934
0,0.89547,1.9474,0.00090604,0.012925,0.008421,0.0021962
0,0.93024,1.9567,-0.00066366,0.012202,0.0081341,0.0016189
0,0.9651,1.9643,-0.0010664,0.011574,0.0080315,0.00094347
0,1,1.9667,0,0.011468,0.0080822,0
0.025,0,2.635e-15,5.738e-20,1.2721e-27,1.6727e-32,-2.7645e-32
0.025,0.00060917,2.3584e-05,-9.3739e-07,7.2864e-06,8.3497e-10,-7.7768e-09
0.025,0.0024359,9.228e-05,-2.9438e-06,4.8633e-05,1.1826e-07,-2.2547e-07
0.025,0.0054781,0.00011333,-2.5163e-05,8.1187e-05,1.3738e-06,-9.2707e-07
0.025,0.0097319,0.00013545,-2.7166e-05,9.4662e-05,6.2054e-06,-2.2444e-06
0.025,0.015192,0.00015131,-9.9244e-05,0.00011224,1.8528e-05,-4.1007e-06
0.025,0.021852,0.00020987,-0.00011138,0.00015403,4.6635e-05,-5.674e-06
0.025,0.029704,0.00031163,-0.00031922,0.0002747,0.00011999,4.6292e-06
0.025,0.038738,0.00052131,-3.0191e-05,0.0016452,0.00051005,5.657e-05
0.025,0.048943,0.054844,-0.0017138,0.014192,0.0051461,0.0034495
0.025,0.060307,0.27904,0.0066849,0.039961,0.011218,0.010077
0.025,0.072816,0.48956,0.014396,0.062871,0.016094,0.016628
0.025,0.086455,0.67749,0.013473,0.07431,0.018669,0.019182
0.025,0.10121,0.82366,0.0097728,0.069811,0.020422,0.018075
0.025,0.11705,0.93369,0.0036548,0.06469,0.02283,0.01828
0.025,0.13397,1.0111,0.0023663,0.064398,0.023354,0.018638
0.025,0.15195,1.0812,0.0035422,0.065145,0.022042,0.017704
0.025,0.17096,1.1459,0.0018269,0.06446,0.02113,0.016816
0.025,0.19098,1.2021,0.00045084,0.062925,0.02209,0.016459
0.025,0.21199,1.2526,-0.00015218,0.060775,0.022263,0.015846
0.025,0.23396,1.2929,-0.00099083,0.056937,0.021168,0.01602
0.025,0.25686,1.3367,-0.0010596,0.054729,0.020307,0.014513
0.025,0.28066,1.3746,0.00049252,0.054905,0.019818,0.013185
0.025,0.30534,1.4115,-0.00025369,0.054029,0.019227,0.013548
0.025,0.33087,1.4426,-0.0022704,0.052777,0.018931,0.013771
0.025,0.35721,1.4764,-0.0053091,0.051275,0.018562,0.013147
0.025,0.38434,1.514,-0.0041097,0.048711,0.017913,0.012436
0.025,0.41221,1.5504,-0.0044008,0.046354,0.018071,0.012461
0.025,0.44081,1.5816,-0.0025401,0.045486,0.016727,0.011181
0.025,0.47008,1.612,4.0153e-05,0.04207,0.015484,0.010117
0.025,0.5,1.6428,0.0018522,0.03899,0.015208,0.0095544
0.025,0.53053,1.6769,0.00073649,0.036188,0.014916,0.0087434
0.025,0.56163,1.7091,0.001496,0.033988,0.014703,0.0082278
0.025,0.59326,1.7375,0.0037874,0.031429,0.013439,0.0074473
0.025,0.62539,1.7635,0.0036305,0.030343,0.012634,0.0069681
0.025,0.65798,1.7907,0.0041163,0.028983,0.011652,0.0064707
0.025,0.69098,1.8196,0.0021129,0.025863,0.011149,0.0058977
0.025,0.72436,1.8464,0.00042326,0.023121,0.010606,0.0060116
0.025,0.75808,1.8704,0.00085514,0.021386,0.0096761,0.0055946
0.025,0.79209,1.8938,0.00044366,0.018669,0.0092944,0.0046336
0.025,0.82635,1.9158,0.0010349,0.016351,0.0091887,0.0038489
0.025,0.86083,1.9331,0.0015583,0.014333,0.0086601,0.002655
0.025,0.89547,1.9465,0.00046439,0.012943,0.0086573,0.0019117
0.025,0.93024,1.9567,-2.0619e-05,0.012048,0.0084054,0.0014378
