x,dist
0,0.045028
0.0033318,0.047691
0.0066636,0.050052
0.0099954,0.051656
0.013327,0.051914
0.016659,0.050757
0.019991,0.048222
0.023323,0.044461
0.026654,0.040125
0.029986,0.035773
0.033318,0.032164
0.03665,0.029799
0.039981,0.029014
0.043313,0.030167
0.046645,0.032923
0.049977,0.036954
0.053309,0.041824
0.05664,0.046837
0.059972,0.051482
0.063304,0.055211
0.066636,0.057843
0.069968,0.059326
0.073299,0.059637
0.076631,0.059161
0.079963,0.058178
0.083295,0.057016
0.086627,0.055969
0.089958,0.055206
0.09329,0.054862
0.096622,0.054898
0.099954,0.055255
0.10329,0.055872
0.10662,0.056614
0.10995,0.057408
0.11328,0.058181
0.11661,0.058861
0.11994,0.059384
0.12328,0.059637
0.12661,0.05954
0.12994,0.059005
0.13327,0.057892
0.1366,0.056244
0.13994,0.054132
0.14327,0.051678
0.1466,0.049206
0.14993,0.047013
0.15326,0.045536
0.15659,0.045006
0.15993,0.045591
0.16326,0.047428
0.16659,0.050227
0.16992,0.053667
0.17325,0.057265
0.17658,0.060463
0.17992,0.062816
0.18325,0.063832
0.18658,0.063465
0.18991,0.061814
0.19324,0.059057
0.19658,0.055791
0.19991,0.052537
0.20324,0.049885
0.20657,0.048248
0.2099,0.047807
0.21323,0.04873
0.21657,0.050672
0.2199,0.053288
0.22323,0.05611
0.22656,0.058634
0.22989,0.060503
0.23323,0.061328
0.23656,0.061114
0.23989,0.059952
0.24322,0.057923
0.24655,0.055427
0.24988,0.052713
0.25322,0.050061
0.25655,0.047667
0.25988,0.045631
0.26321,0.044017
0.26654,0.042788
0.26987,0.041885
0.27321,0.041278
0.27654,0.040876
0.27987,0.040615
0.2832,0.040418
0.28653,0.040146
0.28987,0.039654
0.2932,0.038714
0.29653,0.037146
0.29986,0.034813
0.30319,0.031537
0.30652,0.027427
0.30986,0.022674
0.31319,0.017596
0.31652,0.012699
0.31985,0.0085195
0.32318,0.0056584
0.32652,0.0044934
0.32985,0.0051797
0.33318,0.0078976
0.33651,0.012311
0.33984,0.017951
0.34317,0.024297
0.34651,0.030623
0.34984,0.036383
0.35317,0.041022
0.3565,0.044335
0.35983,0.046293
0.36316,0.046867
0.3665,0.046424
0.36983,0.045241
0.37316,0.043546
0.37649,0.041601
0.37982,0.039508
0.38316,0.037285
0.38649,0.034922
0.38982,0.032406
0.39315,0.029751
0.39648,0.027084
0.39981,0.024575
0.40315,0.022513
0.40648,0.021125
0.40981,0.020555
0.41314,0.020945
0.41647,0.022134
0.41981,0.023867
0.42314,0.025766
0.42647,0.027391
0.4298,0.028363
0.43313,0.028346
0.43646,0.027325
0.4398,0.025451
0.44313,0.023023
0.44646,0.020568
0.44979,0.018563
0.45312,0.017488
0.45646,0.017572
0.45979,0.018799
0.46312,0.021054
0.46645,0.023855
0.46978,0.026694
0.47311,0.029057
0.47645,0.030559
0.47978,0.031086
0.48311,0.030618
0.48644,0.029549
0.48977,0.028334
0.4931,0.027541
0.49644,0.027643
0.49977,0.028902
0.5031,0.031517
