x,y,U,V,urms,vrms,uv
0,0,-7.184e-16,-2.267e-35,1.9675e-14,7.7514e-17,4.8141e-35
0,3.0842e-05,0.0012869,3.5931e-26,0.00051871,2.3149e-07,-2.474e-11
0,0.00012337,0.0051471,6.2498e-25,0.002074,3.6815e-06,-1.5906e-09
0,0.00027757,0.01158,-1.2647e-24,0.0046628,1.8429e-05,-1.8231e-08
0,0.00049344,0.020583,-3.9116e-24,0.008281,5.731e-05,-1.0334e-07
0,0.00077096,0.032155,5.8822e-26,0.012923,0.00013705,-3.9849e-07
0,0.0011101,0.046292,1.1529e-23,0.018585,0.00027712,-1.2046e-06
0,0.0015109,0.062987,2.9058e-23,0.025259,0.00049847,-3.0773e-06
0,0.0019733,0.082232,6.4939e-23,0.032937,0.00082214,-6.9448e-06
0,0.0024972,0.10401,-2.3623e-22,0.041605,0.001268,-1.424e-05
0,0.0030827,0.1283,-3.6422e-22,0.051237,0.0018536,-2.7025e-05
0,0.0037296,0.15506,-6.941e-22,0.061791,0.0025932,-4.8083e-05
0,0.004438,0.18423,-9.8821e-22,0.073194,0.0034971,-8.0924e-05
0,0.0052079,0.21571,1.7223e-22,0.085342,0.0045717,-0.00012968
0,0.006039,0.24939,7.5198e-22,0.098088,0.0058188,-0.00019881
0,0.0069315,0.28508,-5.2234e-22,0.11124,0.0072364,-0.00029276
0,0.0078853,0.32256,1.5717e-22,0.12459,0.008819,-0.00041536
0,0.0089003,0.36157,-1.536e-21,0.13786,0.010558,-0.00056936
0,0.0099763,0.40178,9.3174e-22,0.15082,0.012443,-0.00075597
0,0.011114,0.44283,1.8334e-21,0.16322,0.014462,-0.00097455
0,0.012312,0.48435,-9.7785e-22,0.17482,0.016601,-0.0012226
0,0.013571,0.52594,-9.0957e-21,0.18547,0.018847,-0.0014959
0,0.014891,0.56723,-5.326e-21,0.19501,0.021184,-0.0017889
0,0.016271,0.60785,-1.4144e-20,0.20337,0.0236,-0.0020953
0,0.017713,0.64749,-5.7674e-21,0.21051,0.026079,-0.0024083
0,0.019215,0.68587,-8.4703e-21,0.21645,0.028608,-0.0027215
0,0.020777,0.72279,7.7551e-21,0.22122,0.031172,-0.003029
0,0.0224,0.75809,1.9862e-20,0.22488,0.033758,-0.0033259
0,0.024083,0.79165,-5.9179e-21,0.22754,0.036351,-0.0036082
0,0.025827,0.82343,1.042e-20,0.22927,0.03894,-0.0038732
0,0.02763,0.8534,2.7214e-20,0.23019,0.041509,-0.0041191
0,0.029494,0.88159,-2.0404e-21,0.23038,0.044049,-0.0043449
0,0.031417,0.90805,-1.7533e-20,0.22995,0.046546,-0.0045505
0,0.0334,0.93284,3.7232e-21,0.22898,0.048991,-0.0047364
0,0.035443,0.95604,1.167e-20,0.22756,0.051375,-0.0049034
0,0.037545,0.97774,7.5292e-21,0.22577,0.053688,-0.0050526
0,0.039706,0.99804,6.7461e-21,0.22366,0.055925,-0.0051852
0,0.041927,1.017,2.8566e-20,0.22131,0.05808,-0.0053025
0,0.044207,1.0348,2.8807e-20,0.21876,0.060148,-0.0054059
0,0.046546,1.0515,-7.5593e-21,0.21607,0.062126,-0.0054966
0,0.048943,1.0671,-9.547e-21,0.21328,0.064012,-0.0055758
0,0.0514,1.0817,5.5264e-20,0.21042,0.065803,-0.0056446
0,0.053915,1.0955,-3.7013e-20,0.20752,0.067501,-0.0057039
0,0.056488,1.1085,4.1892e-20,0.20462,0.069104,-0.0057549
0,0.059119,1.1208,1.6594e-20,0.20174,0.070615,-0.0057983
0,0.061809,1.1323,-3.614e-20,0.19889,0.072033,-0.0058348
0,0.064556,1.1433,8.1165e-21,0.19609,0.073361,-0.0058653
0,0.067361,1.1537,2.3596e-20,0.19336,0.074601,-0.0058901
0,0.070224,1.1636,-1.0419e-19,0.1907,0.075755,-0.00591
0,0.073143,1.1731,-2.2844e-20,0.18813,0.076825,-0.0059254
0,0.07612,1.1821,1.2679e-20,0.18564,0.077814,-0.0059368
0,0.079155,1.1907,5.6017e-20,0.18324,0.078726,-0.0059446
0,0.082245,1.199,-6.7522e-20,0.18094,0.079563,-0.005949
0,0.085393,1.207,2.2949e-20,0.17873,0.080329,-0.0059503
0,0.088597,1.2148,-3.2074e-20,0.17661,0.081026,-0.005949
0,0.091857,1.2222,3.9784e-20,0.17458,0.08166,-0.0059452
0,0.095173,1.2295,4.1983e-20,0.17265,0.082232,-0.0059393
0,0.098545,1.2365,6.5865e-20,0.1708,0.082746,-0.0059315
0,0.10197,1.2434,-3.9875e-20,0.16905,0.083205,-0.0059219
0,0.10546,1.2501,7.8379e-20,0.16737,0.083613,-0.0059107
0,0.10899,1.2566,-4.1064e-20,0.16579,0.083973,-0.005898
0,0.11259,1.263,7.1452e-20,0.16428,0.084288,-0.005884
0,0.11623,1.2692,-3.3279e-20,0.16284,0.08456,-0.0058687
0,0.11994,1.2753,-6.0015e-20,0.16148,0.084793,-0.0058522
0,0.12369,1.2814,9.1103e-20,0.16019,0.084989,-0.0058347
0,0.1275,1.2873,-8.0457e-20,0.15896,0.08515,-0.0058161
0,0.13137,1.2931,2.831e-20,0.15779,0.08528,-0.0057967
0,0.13529,1.2989,2.5238e-20,0.15668,0.08538,-0.0057764
0,0.13926,1.3045,5.686e-20,0.15562,0.085452,-0.0057554
0,0.14328,1.3101,3.2044e-20,0.1546,0.0855,-0.0057337
0,0.14736,1.3157,-4.9994e-20,0.15364,0.085524,-0.0057113
0,0.15149,1.3211,-5.7945e-20,0.15271,0.085526,-0.0056882
