x,y,U,V,urms,vrms,uv
0,0,2.6007e-15,-3.6929e-18,2.1401e-13,8.048e-16,-1.5779e-29
0,9.7476e-05,-1.1574e-05,1.7908e-08,0.0026616,5.0201e-06,-4.7925e-09
0,0.00038988,-1.4547e-05,8.0563e-08,0.0098265,7.6276e-05,-2.586e-07
0,0.00087717,-7.1221e-06,4.1018e-07,0.019451,0.00035474,-2.4023e-06
0,0.0015592,-7.8958e-07,1.2765e-06,0.029201,0.0010012,-1.0364e-05
0,0.0024359,4.3227e-06,2.873e-06,0.037355,0.0021349,-2.8812e-05
0,0.0035071,7.4614e-06,5.3187e-06,0.043195,0.0038077,-6.0384e-05
0,0.0047726,9.3508e-06,8.6663e-06,0.046873,0.0060173,-0.00010469
0,0.0062321,1.0187e-05,1.286e-05,0.048999,0.0087402,-0.00015985
0,0.0078853,1.2706e-05,1.7515e-05,0.050251,0.011963,-0.00022491
0,0.0097319,1.2524e-05,2.1791e-05,0.051164,0.015701,-0.00030139
0,0.011772,1.3894e-05,2.6219e-05,0.052093,0.020015,-0.00039359
0,0.014004,1.3355e-05,3.4198e-05,0.053251,0.025015,-0.00050863
0,0.016429,1.6662e-05,4.8271e-05,0.05479,0.030867,-0.00065748
0,0.019045,2.9598e-05,6.7344e-05,0.056869,0.037822,-0.00085811
0,0.021852,4.7664e-05,8.4796e-05,0.059659,0.046238,-0.0011371
0,0.024851,8.033e-05,9.16e-05,0.063694,0.056657,-0.0015312
0,0.028039,9.1777e-05,7.6112e-05,0.071245,0.069828,-0.0021226
0,0.031417,3.03e-05,9.9304e-05,0.090881,0.086923,-0.0030162
0,0.034984,0.00025817,0.00018921,0.13867,0.11096,-0.0043945
0,0.038738,0.00035658,8.2285e-05,0.23686,0.14373,-0.0065457
0,0.042681,0.00053161,-0.00030577,0.40785,0.19601,-0.016444
0,0.046809,-0.0079095,0.0085147,0.75489,0.30528,0.010532
0,0.051124,0.01692,0.013633,1.0835,0.4184,-0.095041
0,0.055624,0.095667,0.011752,1.2652,0.5308,-0.3671
0,0.060307,0.20039,0.015565,1.3784,0.63214,-0.61749
0,0.065174,0.30845,0.020031,1.5138,0.69655,-0.83576
0,0.070224,0.4175,0.02538,1.6168,0.74102,-0.96409
0,0.075454,0.51824,0.02783,1.658,0.76352,-1.0268
0,0.080865,0.61037,0.026904,1.6573,0.7793,-1.0651
0,0.086455,0.68908,0.024081,1.6527,0.79694,-1.0873
0,0.092223,0.75353,0.019782,1.6224,0.82166,-1.056
0,0.098167,0.80952,0.01563,1.5688,0.84791,-0.98683
0,0.10429,0.85773,0.011858,1.5307,0.86961,-0.96836
0,0.11058,0.90006,0.0087086,1.5021,0.88641,-0.99882
0,0.11705,0.93595,0.0067733,1.498,0.89662,-1.033
0,0.12369,0.96686,0.0057599,1.5141,0.90151,-1.044
0,0.13051,0.99719,0.0049598,1.5256,0.9035,-1.0622
0,0.13749,1.0267,0.0040346,1.5328,0.90412,-1.1058
0,0.14464,1.0556,0.0032343,1.5283,0.89847,-1.1252
0,0.15195,1.0833,0.0024598,1.5205,0.88879,-1.1013
0,0.15943,1.1106,0.0021813,1.5219,0.87925,-1.0603
0,0.16708,1.1354,0.0022287,1.5252,0.86746,-1.0247
0,0.17489,1.1588,0.0021259,1.5179,0.86461,-1.002
0,0.18286,1.1827,0.001211,1.5043,0.87144,-0.97784
0,0.19098,1.2049,0.00063821,1.4938,0.87777,-0.94713
0,0.19927,1.2247,0.0006898,1.4764,0.8786,-0.94079
0,0.20771,1.2436,0.0011726,1.4634,0.87625,-0.94693
0,0.21631,1.2626,0.0021027,1.4487,0.871,-0.96781
0,0.22506,1.2799,0.0029083,1.4374,0.86825,-0.97965
0,0.23396,1.2961,0.0027594,1.4374,0.86873,-0.97206
0,0.243,1.313,0.0018154,1.4372,0.86817,-0.94863
0,0.2522,1.3306,0.001283,1.4352,0.86337,-0.91938
0,0.26154,1.3457,0.0013775,1.4299,0.85687,-0.88317
0,0.27103,1.3597,0.0011876,1.4204,0.84891,-0.86294
0,0.28066,1.3741,0.0010379,1.4168,0.83706,-0.84377
0,0.29043,1.3888,0.0005078,1.4128,0.83103,-0.8278
0,0.30034,1.403,-0.00073026,1.4051,0.82937,-0.81737
0,0.31038,1.417,-0.0017597,1.3949,0.82775,-0.81578
0,0.32056,1.4304,-0.0015622,1.3852,0.82794,-0.8254
0,0.33087,1.4434,-0.0015971,1.3777,0.8291,-0.84263
0,0.34131,1.4573,-0.0027138,1.3723,0.82981,-0.85355
0,0.35188,1.4725,-0.0041388,1.3681,0.82502,-0.83891
0,0.36258,1.4874,-0.0047337,1.358,0.81415,-0.80639
0,0.3734,1.5014,-0.0039565,1.3418,0.80275,-0.77978
0,0.38434,1.5151,-0.0025015,1.3275,0.80139,-0.76783
0,0.3954,1.5288,-0.0018579,1.3195,0.80707,-0.76404
0,0.40658,1.5431,-0.0021516,1.3121,0.80856,-0.76492
0,0.41788,1.5568,-0.00234,1.3074,0.80598,-0.75537
0,0.42929,1.5691,-0.0017881,1.2996,0.8005,-0.73696
0,0.44081,1.5815,-0.0006011,1.2845,0.79031,-0.71933
0,0.45244,1.5945,0.00078977,1.2642,0.77767,-0.69082
0,0.46417,1.6079,0.0017975,1.2429,0.76956,-0.65397
0,0.47601,1.62,0.0021381,1.2205,0.76363,-0.63274
0,0.48796,1.6326,0.0021282,1.1958,0.75581,-0.62453
0,0.5,1.6454,0.0017219,1.1807,0.74897,-0.61834
0,0.51214,1.6571,0.0013857,1.1792,0.74264,-0.5915
0,0.52438,1.6695,0.0011654,1.1683,0.73448,-0.55658
0,0.5367,1.682,0.0013672,1.1442,0.72932,-0.53027
0,0.54912,1.694,0.0016782,1.124,0.72893,-0.50861
0,0.56163,1.7071,0.0016973,1.104,0.72479,-0.49644
0,0.57422,1.7194,0.0024005,1.0863,0.71144,-0.49299
0,0.5869,1.7306,0.0032704,1.072,0.69581,-0.48253
0,0.59965,1.7412,0.0032913,1.0609,0.68898,-0.46391
0,0.61248,1.7519,0.0029226,1.0511,0.68617,-0.44912
0,0.62539,1.7621,0.0028846,1.0392,0.67924,-0.43762
0,0.63838,1.7726,0.0029644,1.0285,0.66932,-0.42739
0,0.65143,1.7837,0.0031997,1.023,0.65764,-0.41705
0,0.66455,1.7946,0.0035166,1.017,0.65072,-0.39665
0,0.67773,1.8066,0.0034141,0.99619,0.64545,-0.38382
0,0.69098,1.8188,0.0028715,0.96501,0.63655,-0.37746
0,0.70429,1.8304,0.0022635,0.94065,0.62736,-0.37074
0,0.71766,1.8417,0.0017742,0.91886,0.62326,-0.35965
0,0.73108,1.8518,0.0014897,0.9045,0.61761,-0.34767
0,0.74455,1.8612,0.001271,0.89295,0.6089,-0.33309
0,0.75808,1.8711,0.00056094,0.87966,0.60223,-0.32394
0,0.77165,1.8812,-7.3495e-06,0.8592,0.59756,-0.31036
0,0.78526,1.8906,-0.0006578,0.83753,0.59412,-0.29168
0,0.79892,1.899,-0.0012026,0.81614,0.59123,-0.27211
0,0.81262,1.9075,-0.0010712,0.79038,0.58607,-0.25191
0,0.82635,1.9161,-0.00048027,0.76426,0.57796,-0.23448
0,0.84012,1.9241,8.0518e-05,0.7492,0.5728,-0.21271
0,0.85392,1.9311,0.00055335,0.73219,0.56679,-0.17656
0,0.86774,1.9371,0.00091011,0.71154,0.56135,-0.1521
0,0.8816,1.9425,0.0011331,0.69418,0.55644,-0.14301
0,0.89547,1.9474,0.00090604,0.68213,0.5506,-0.13177
0,0.90937,1.9513,0.0002663,0.67495,0.54613,-0.11937
0,0.92328,1.9549,-0.00042821,0.66741,0.54282,-0.10489
0,0.93721,1.9584,-0.00082508,0.65867,0.53932,-0.089419
0,0.95115,1.9617,-0.00098666,0.65081,0.53755,-0.074691
0,0.9651,1.9643,-0.0010664,0.64551,0.53771,-0.056608
0,0.97906,1.9657,-0.00082267,0.64338,0.53761,-0.035028
0,0.99302,1.9665,-0.00031039,0.64268,0.53885,-0.011262
0,1.007,1.9667,0,0.64253,0.53941,0
0,1.0209,1.9662,-0.00058389,0.64308,0.53801,0.023393
0,1.0349,1.9652,-0.00099411,0.64403,0.53773,0.04602
0,1.0488,1.9632,-0.001041,0.64776,0.53757,0.066447
0,1.0628,1.9602,-0.00091005,0.65469,0.53814,0.082104
0,1.0767,1.9567,-0.00066366,0.66279,0.54114,0.097134
0,1.0906,1.9532,-8.8172e-05,0.67155,0.54451,0.11236
0,1.1045,1.9496,0.00062942,0.67804,0.54808,0.12561
0,1.1184,1.9451,0.0011009,0.68749,0.55362,0.13816
0,1.1323,1.9399,0.001061,0.70207,0.559,0.14677
0,1.1461,1.9343,0.0007669,0.7215,0.56372,0.16161
0,1.1599,1.9278,0.00032828,0.74209,0.57029,0.19563
0,1.1736,1.9203,-0.00015365,0.75556,0.57497,0.2251
0,1.1874,1.9119,-0.00079073,0.77629,0.58209,0.24313
0,1.2011,1.9033,-0.0012019,0.80401,0.58908,0.26185
0,1.2147,1.8949,-0.00097289,0.82707,0.59286,0.28207
0,1.2284,1.8862,-0.00028051,0.84815,0.59584,0.30104
0,1.2419,1.8763,0.0002778,0.87008,0.59974,0.31847
0,1.2554,1.8662,0.00096764,0.88682,0.60529,0.32829
0,1.2689,1.8566,0.0014734,0.89871,0.61331,0.33991
0,1.2823,1.847,0.0016129,0.91071,0.62107,0.35412
0,1.2957,1.8362,0.0020557,0.92915,0.62497,0.3657
0,1.309,1.8248,0.0025824,0.95218,0.63151,0.37455
0,1.3223,1.8128,0.003222,0.9802,0.64159,0.3806
0,1.3355,1.8006,0.0035713,1.0089,0.64846,0.38897
0,1.3486,1.7891,0.0034272,1.0215,0.65356,0.40716
0,1.3616,1.7783,0.0030946,1.0248,0.66338,0.42349
0,1.3746,1.7673,0.002972,1.0331,0.67463,0.4317
0,1.3875,1.7571,0.0029125,1.0457,0.68339,0.44397
0,1.4003,1.7467,0.0031477,1.0557,0.68782,0.45544
0,1.4131,1.7359,0.0034463,1.0666,0.6914,0.47368
0,1.4258,1.7252,0.0029531,1.078,0.70308,0.48903
0,1.4384,1.7135,0.002001,1.0953,0.71917,0.49441
0,1.4509,1.7005,0.001725,1.1133,0.72783,0.50111
0,1.4633,1.688,0.0016411,1.1347,0.72901,0.51849
0,1.4756,1.676,0.0012691,1.1556,0.73122,0.54164
0,1.4879,1.6632,0.0013061,1.1764,0.73882,0.5746
0,1.5,1.6514,0.0016022,1.1802,0.746,0.60643
0,1.512,1.6392,0.0020314,1.1856,0.75212,0.62302
0,1.524,1.6262,0.0022374,1.2081,0.76001,0.62703
0,1.5358,1.6141,0.0021171,1.2323,0.76649,0.64161
0,1.5476,1.6014,0.0014359,1.2532,0.77329,0.67057
0,1.5592,1.588,0.00019446,1.2748,0.78359,0.70797
0,1.5707,1.5752,-0.0011924,1.2932,0.79608,0.72801
0,1.5821,1.5631,-0.0020775,1.3041,0.80365,0.74565
0,1.5934,1.5502,-0.00226,1.3098,0.80767,0.76165
0,1.6046,1.5359,-0.0018489,1.3153,0.80837,0.76454
0,1.6157,1.522,-0.0019767,1.3232,0.8045,0.76456
0,1.6266,1.5083,-0.0031163,1.3337,0.80015,0.77203
0,1.6374,1.4945,-0.0044341,1.3501,0.80795,0.79126
