x,y,U,V,W,urms,vrms,wrms,uv,uw,vw
0,0,-3.6074e-16,1.613e-34,-9.7138e-19,3.4182e-14,1.1508e-16,1.413e-15,-3.8874e-34,-2.9191e-32,-4.9743e-35
0,2.4369e-05,3.3357e-07,-4.8468e-28,-2.0655e-10,6.4897e-05,2.2382e-08,4.6053e-05,2.0974e-15,3.653e-12,-7.1266e-17
0,9.7476e-05,1.0143e-06,1.8095e-25,-6.6379e-10,0.00025399,3.7824e-07,0.00018021,8.3718e-14,5.502e-11,-6.5569e-15
0,0.00021932,1.3013e-06,2.068e-26,-1.8352e-09,0.00055274,1.7424e-06,0.00039201,8.8075e-13,2.6361e-10,-6.2867e-14
0,0.00038988,1.5125e-06,1.0891e-24,-2.3181e-09,0.00093825,5.3426e-06,0.00066515,2.3508e-12,7.6052e-10,-3.6767e-13
0,0.00060917,1.1998e-06,4.7149e-24,-4.5228e-09,0.0013834,1.2476e-05,0.00098004,-1.9223e-12,1.6463e-09,-1.3838e-12
0,0.00087717,1.5251e-06,-4.7003e-24,-5.0509e-09,0.0018585,2.4662e-05,0.0013159,-3.5424e-11,2.942e-09,-4.1239e-12
0,0.0011939,1.1305e-06,3.0275e-23,-7.7708e-09,0.0023364,4.3206e-05,0.0016529,-1.4822e-10,4.5808e-09,-1.0256e-11
0,0.0015592,1.6088e-06,-3.0261e-24,-7.2521e-09,0.0027928,6.9326e-05,0.0019745,-4.1543e-10,6.4151e-09,-2.2401e-11
0,0.0019733,1.112e-06,2.2279e-23,-8.8552e-09,0.00321,0.00010385,0.0022675,-9.2652e-10,8.2648e-09,-4.438e-11
0,0.0024359,1.6791e-06,-3.033e-24,-9.1041e-09,0.0035758,0.00014739,0.0025243,-1.7455e-09,9.9518e-09,-8.1664e-11
0,0.0029472,1.139e-06,-2.2058e-25,-1.2433e-08,0.0038852,0.00020017,0.0027404,-2.8812e-09,1.1327e-08,-1.4601e-10
0,0.0035071,1.7649e-06,-1.3786e-24,-1.2596e-08,0.0041375,0.00026228,0.0029168,-4.2504e-09,1.2311e-08,-2.4438e-10
0,0.0041156,1.21e-06,-1.4338e-23,-1.4786e-08,0.0043374,0.00033352,0.0030555,-5.6791e-09,1.2852e-08,-3.8725e-10
0,0.0047726,1.8766e-06,4.6212e-23,-1.2827e-08,0.0044907,0.00041373,0.0031625,-6.8592e-09,1.2886e-08,-5.7398e-10
0,0.0054781,1.3327e-06,-1.9191e-22,-1.14e-08,0.0046063,0.00050257,0.0032423,-7.4337e-09,1.2553e-08,-8.0024e-10
0,0.0062321,2.0384e-06,-1.2242e-22,-2.7181e-09,0.0046918,0.00059988,0.0033024,-7.0284e-09,1.2002e-08,-1.0449e-09
