x,y,U,V,urms,vrms,uv
0,0,2.6007e-15,-3.6929e-18,3.5669e-14,1.3413e-16,2.6299e-31
0,0.00060917,-1.2444e-05,-1.5933e-08,0.0024137,2.9916e-05,1.474e-08
0,0.0024359,4.3227e-06,2.873e-06,0.0062258,0.00035581,4.802e-07
0,0.0054781,6.2679e-06,8.695e-06,0.0080144,0.0012199,2.1795e-06
0,0.0097319,1.2524e-05,2.1791e-05,0.0085274,0.0026169,5.0231e-06
0,0.015192,1.3497e-05,3.3983e-05,0.0089948,0.0046387,9.6189e-06
0,0.021852,4.7664e-05,8.4796e-05,0.0099431,0.0077063,1.8952e-05
0,0.029704,9.6641e-05,6.1772e-05,0.013125,0.012952,4.1935e-05
0,0.038738,0.00035658,8.2285e-05,0.039476,0.023954,0.00010909
0,0.048943,-0.0056694,0.013043,0.15955,0.060394,9.0995e-05
0,0.060307,0.20039,0.015565,0.22973,0.10536,0.010291
0,0.072816,0.46795,0.027133,0.2745,0.12565,0.016572
0,0.086455,0.68908,0.024081,0.27545,0.13282,0.018122
0,0.10121,0.83466,0.013774,0.25826,0.14323,0.016135
0,0.11705,0.93595,0.0067733,0.24966,0.14944,0.017217
0,0.13397,1.0122,0.0045482,0.25496,0.1507,0.018055
0,0.15195,1.0833,0.0024598,0.25342,0.14813,0.018355
0,0.17096,1.1472,0.0023416,0.25381,0.14404,0.016871
0,0.19098,1.2049,0.00063821,0.24896,0.14629,0.015785
0,0.21199,1.2533,0.0016591,0.2428,0.14564,0.015921
0,0.23396,1.2961,0.0027594,0.23956,0.14479,0.016201
0,0.25686,1.3385,0.0014136,0.23894,0.1433,0.014998
0,0.28066,1.3741,0.0010379,0.23613,0.13951,0.014063
0,0.30534,1.4101,-0.00129,0.23327,0.13807,0.013593
0,0.33087,1.4434,-0.0015971,0.22962,0.13818,0.014044
0,0.35721,1.4802,-0.0044975,0.2273,0.13666,0.01371
0,0.38434,1.5151,-0.0025015,0.22125,0.13357,0.012797
0,0.41221,1.5502,-0.00226,0.21831,0.13461,0.012694
0,0.44081,1.5815,-0.0006011,0.21408,0.13172,0.011989
0,0.47008,1.6141,0.0021171,0.20538,0.12775,0.010693
0,0.5,1.6454,0.0017219,0.19678,0.12483,0.010306
0,0.53053,1.676,0.0012691,0.1926,0.12187,0.0090273
0,0.56163,1.7071,0.0016973,0.184,0.1208,0.0082741
0,0.59326,1.7359,0.0034463,0.17777,0.11523,0.0078946
0,0.62539,1.7621,0.0028846,0.1732,0.11321,0.0072937
0,0.65798,1.7891,0.0034272,0.17024,0.10893,0.0067861
0,0.69098,1.8188,0.0028715,0.16084,0.10609,0.006291
0,0.72436,1.847,0.0016129,0.15179,0.10351,0.0059021
0,0.75808,1.8711,0.00056094,0.14661,0.10037,0.0053989
0,0.79209,1.8949,-0.00097289,0.13784,0.098809,0.0047011
0,0.82635,1.9161,-0.00048027,0.12738,0.096327,0.003908
0,0.86083,1.9343,0.0007669,0.12025,0.093953,0.0026934
0,0.89547,1.9474,0.00090604,0.11369,0.091766,0.0021962
0,0.93024,1.9567,-0.00066366,0.11046,0.090189,0.0016189
0,0.9651,1.9643,-0.0010664,0.10758,0.089619,0.00094347
0,1,1.9667,0,0.10709,0.089901,0
0.025,0,2.635e-15,5.738e-20,3.5667e-14,1.2933e-16,-2.7645e-32
0.025,0.00060917,2.3584e-05,-9.3739e-07,0.0026993,2.8896e-05,-7.7768e-09
0.025,0.0024359,9.228e-05,-2.9438e-06,0.0069737,0.00034389,-2.2547e-07
0.025,0.0054781,0.00011333,-2.5163e-05,0.0090104,0.0011721,-9.2707e-07
0.025,0.0097319,0.00013545,-2.7166e-05,0.0097294,0.0024911,-2.2444e-06
0.025,0.015192,0.00015131,-9.9244e-05,0.010595,0.0043044,-4.1007e-06
0.025,0.021852,0.00020987,-0.00011138,0.012411,0.006829,-5.674e-06
0.025,0.029704,0.00031163,-0.00031922,0.016574,0.010954,4.6292e-06
0.025,0.038738,0.00052131,-3.0191e-05,0.040561,0.022584,5.657e-05
0.025,0.048943,0.054844,-0.0017138,0.11913,0.071737,0.0034495
0.025,0.060307,0.27904,0.0066849,0.1999,0.10591,0.010077
0.025,0.072816,0.48956,0.014396,0.25074,0.12686,0.016628
0.025,0.086455,0.67749,0.013473,0.2726,0.13664,0.019182
0.025,0.10121,0.82366,0.0097728,0.26422,0.1429,0.018075
0.025,0.11705,0.93369,0.0036548,0.25434,0.15109,0.01828
0.025,0.13397,1.0111,0.0023663,0.25377,0.15282,0.018638
0.025,0.15195,1.0812,0.0035422,0.25523,0.14847,0.017704
0.025,0.17096,1.1459,0.0018269,0.25389,0.14536,0.016816
0.025,0.19098,1.2021,0.00045084,0.25085,0.14863,0.016459
0.025,0.21199,1.2526,-0.00015218,0.24653,0.14921,0.015846
