x,y,U,V,urms,vrms,uv
0,0,2.6007e-15,-3.6929e-18,2.1401e-13,8.048e-16,-1.5779e-29
0,0.0097319,1.2524e-05,2.1791e-05,0.051164,0.015701,-0.00030139
0,0.038738,0.00035658,8.2285e-05,0.23686,0.14373,-0.0065457
0,0.086455,0.68908,0.024081,1.6527,0.79694,-1.0873
0,0.15195,1.0833,0.0024598,1.5205,0.88879,-1.1013
0,0.23396,1.2961,0.0027594,1.4374,0.86873,-0.97206
0,0.33087,1.4434,-0.0015971,1.3777,0.8291,-0.84263
0,0.44081,1.5815,-0.0006011,1.2845,0.79031,-0.71933
0,0.56163,1.7071,0.0016973,1.104,0.72479,-0.49644
0,0.69098,1.8188,0.0028715,0.96501,0.63655,-0.37746
0,0.82635,1.9161,-0.00048027,0.76426,0.57796,-0.23448
0,0.9651,1.9643,-0.0010664,0.64551,0.53771,-0.056608
0,1.1045,1.9496,0.00062942,0.67804,0.54808,0.12561
0,1.2419,1.8763,0.0002778,0.87008,0.59974,0.31847
0,1.3746,1.7673,0.002972,1.0331,0.67463,0.4317
0,1.5,1.6514,0.0016022,1.1802,0.746,0.60643
0,1.6157,1.522,-0.0019767,1.3232,0.8045,0.76456
0,1.7193,1.3816,0.00094199,1.4142,0.83305,0.8345
0,1.809,1.2152,0.00066782,1.4853,0.87911,0.94055
0,1.8829,0.95191,0.0062171,1.5057,0.89959,1.0409
0,1.9397,0.25445,0.018117,1.4444,0.66737,0.73179
0,1.9781,6.7093e-05,7.9083e-05,0.061475,0.051164,0.0013141
0,1.9976,2.4361e-06,2.9797e-06,0.04057,0.0029049,4.2781e-05
0.1,0,2.6604e-15,-8.3444e-19,2.1393e-13,7.9849e-16,-5.4137e-30
0.1,0.0097319,0.00047604,-3.8916e-05,0.049285,0.013825,-0.00021367
0.1,0.038738,0.00084258,-0.00027401,0.22574,0.092588,-0.00086991
0.1,0.086455,0.69438,-0.0067487,1.5418,0.81073,-1.1099
0.1,0.15195,1.0721,-0.0038382,1.4941,0.88553,-1.0042
0.1,0.23396,1.2978,-0.0040894,1.4333,0.86211,-0.75102
0.1,0.33087,1.4434,-0.0032798,1.3542,0.80953,-0.73791
0.1,0.44081,1.5812,0.0020462,1.2592,0.81258,-0.68503
0.1,0.56163,1.7092,0.0039546,1.0625,0.69496,-0.45844
0.1,0.69098,1.818,0.0012979,0.97156,0.60499,-0.36485
0.1,0.82635,1.9133,0.0010927,0.75691,0.55405,-0.20933
0.1,0.9651,1.9608,-0.0012934,0.6481,0.56347,-0.052034
0.1,1.1045,1.947,0.00099598,0.6824,0.55612,0.11696
0.1,1.2419,1.8742,-0.0013719,0.86351,0.59198,0.32837
0.1,1.3746,1.7714,0.0029895,1.0421,0.6436,0.3439
0.1,1.5,1.6509,0.0036579,1.1665,0.75936,0.61319
0.1,1.6157,1.5219,0.00083417,1.3207,0.80602,0.74706
0.1,1.7193,1.3789,-0.001047,1.3941,0.81136,0.71944
0.1,1.809,1.2053,-0.0063543,1.4855,0.88357,0.83996
0.1,1.8829,0.94634,-0.0013799,1.5718,0.87563,1.0353
0.1,1.9397,0.25235,-0.046881,1.5332,0.59682,0.96082
0.1,1.9781,0.00058017,-8.3929e-05,0.059139,0.04137,0.00052181
0.1,1.9976,0.0003562,-5.2429e-06,0.038967,0.0025986,3.1698e-05
0.2,0,2.618e-15,8.3455e-18,2.1409e-13,7.8462e-16,7.1239e-30
0.2,0.0097319,0.00016907,-0.00010112,0.042825,0.012319,-1.4992e-06
0.2,0.038738,-4.3501e-05,-0.0004994,0.2263,0.078778,0.00067954
0.2,0.086455,0.72426,0.0019069,1.5081,0.74763,-0.81063
0.2,0.15195,1.0744,-5.9968e-05,1.5456,0.90138,-1.0708
0.2,0.23396,1.2949,0.0045264,1.445,0.82065,-0.8393
0.2,0.33087,1.4434,-0.0011274,1.3994,0.82664,-0.79782
0.2,0.44081,1.5794,0.0038201,1.2567,0.73682,-0.60427
0.2,0.56163,1.7011,-0.0012231,1.0816,0.71995,-0.54072
0.2,0.69098,1.8198,-0.0028927,0.9523,0.63209,-0.37758
0.2,0.82635,1.9092,-0.0029564,0.75841,0.5778,-0.24053
0.2,0.9651,1.9587,9.5215e-05,0.65947,0.52735,-0.039672
0.2,1.1045,1.9495,-0.00065359,0.68083,0.52057,0.10951
0.2,1.2419,1.8735,-0.0035225,0.84916,0.61183,0.30071
0.2,1.3746,1.7717,-0.0044039,1.0074,0.67314,0.42239
0.2,1.5,1.6492,0.00057937,1.1391,0.72797,0.54501
0.2,1.6157,1.5183,0.00099747,1.3166,0.79387,0.68117
0.2,1.7193,1.3798,-0.0012118,1.4116,0.83883,0.87675
0.2,1.809,1.2034,0.004529,1.5144,0.85402,0.87647
0.2,1.8829,0.95668,0.002744,1.5119,0.8939,0.97473
0.2,1.9397,0.14334,0.02786,1.6736,0.45939,-0.012416
0.2,1.9781,0.00018027,-0.0002777,0.050064,0.036696,-0.00010851
0.2,1.9976,0.00014539,-2.1751e-05,0.034134,0.002309,1.0811e-06
0.3,0,2.5794e-15,-2.973e-18,2.1425e-13,7.912e-16,3.7751e-30
0.3,0.0097319,-0.0010484,-0.00012369,0.089703,0.02404,-0.0013142
