x,y,U,V,W,urms,vrms,wrms,uv,uw,vw
0,0,-7.184e-16,-2.267e-35,1.3093e-19,1.9675e-14,7.7514e-17,1.0054e-15,4.8141e-35,-1.8264e-32,4.9351e-36
0,3.0842e-05,0.0012869,3.5931e-26,-5.4441e-08,0.00051871,2.3149e-07,0.0003316,-2.474e-11,-5.9542e-11,-6.0484e-15
0,0.00012337,0.0051471,6.2498e-25,-2.1776e-07,0.002074,3.6815e-06,0.0013194,-1.5906e-09,-9.656e-10,-4.0783e-13
0,0.00027757,0.01158,-1.2647e-24,-4.8992e-07,0.0046628,1.8429e-05,0.0029408,-1.8231e-08,-4.9995e-09,-4.9441e-12
0,0.00049344,0.020583,-3.9116e-24,-8.7085e-07,0.008281,5.731e-05,0.0051594,-1.0334e-07,-1.6269e-08,-3.0081e-11
0,0.00077096,0.032155,5.8822e-26,-1.3604e-06,0.012923,0.00013705,0.007927,-3.9849e-07,-4.1083e-08,-1.2394e-10
0,0.0011101,0.046292,1.1529e-23,-1.9584e-06,0.018585,0.00027712,0.011185,-1.2046e-06,-8.8329e-08,-3.9438e-10
0,0.0015109,0.062987,2.9058e-23,-2.6649e-06,0.025259,0.00049847,0.014867,-3.0773e-06,-1.6976e-07,-1.0374e-09
0,0.0019733,0.082232,6.4939e-23,-3.4802e-06,0.032937,0.00082214,0.0189,-6.9448e-06,-3.0007e-07,-2.3476e-09
0,0.0024972,0.10401,-2.3623e-22,-4.4059e-06,0.041605,0.001268,0.02321,-1.424e-05,-4.9673e-07,-4.6839e-09
0,0.0030827,0.1283,-3.6422e-22,-5.4449e-06,0.051237,0.0018536,0.027719,-2.7025e-05,-7.7945e-07,-8.3658e-09
0,0.0037296,0.15506,-6.941e-22,-6.601e-06,0.061791,0.0025932,0.032352,-4.8083e-05,-1.1691e-06,-1.3489e-08
0,0.004438,0.18423,-9.8821e-22,-7.8785e-06,0.073194,0.0034971,0.037038,-8.0924e-05,-1.6858e-06,-1.9675e-08
0,0.0052079,0.21571,1.7223e-22,-9.2782e-06,0.085342,0.0045717,0.041713,-0.00012968,-2.3453e-06,-2.5811e-08
0,0.006039,0.24939,7.5198e-22,-1.0793e-05,0.098088,0.0058188,0.04632,-0.00019881,-3.1542e-06,-2.9853e-08
0,0.0069315,0.28508,-5.2234e-22,-1.2401e-05,0.11124,0.0072364,0.050811,-0.00029276,-4.1032e-06,-2.8773e-08
0,0.0078853,0.32256,1.5717e-22,-1.4054e-05,0.12459,0.008819,0.055151,-0.00041536,-5.1604e-06,-1.8729e-08
0,0.0089003,0.36157,-1.536e-21,-1.5674e-05,0.13786,0.010558,0.059314,-0.00056936,-6.2652e-06,4.5047e-09
0,0.0099763,0.40178,9.3174e-22,-1.7143e-05,0.15082,0.012443,0.063288,-0.00075597,-7.3223e-06,4.4872e-08
0,0.011114,0.44283,1.8334e-21,-1.8301e-05,0.16322,0.014462,0.067065,-0.00097455,-8.198e-06,1.052e-07
0,0.012312,0.48435,-9.7785e-22,-1.8952e-05,0.17482,0.016601,0.070649,-0.0012226,-8.7157e-06,1.8643e-07
0,0.013571,0.52594,-9.0957e-21,-1.8878e-05,0.18547,0.018847,0.074046,-0.0014959,-8.6565e-06,2.8702e-07
0,0.014891,0.56723,-5.326e-21,-1.7857e-05,0.19501,0.021184,0.077265,-0.0017889,-7.767e-06,4.0292e-07
0,0.016271,0.60785,-1.4144e-20,-1.5686e-05,0.20337,0.0236,0.080316,-0.0020953,-5.7781e-06,5.2798e-07
0,0.017713,0.64749,-5.7674e-21,-1.2205e-05,0.21051,0.026079,0.083207,-0.0024083,-2.4333e-06,6.5504e-07
0,0.019215,0.68587,-8.4703e-21,-7.3096e-06,0.21645,0.028608,0.085945,-0.0027215,2.4804e-06,7.7728e-07
0,0.020777,0.72279,7.7551e-21,-9.5404e-07,0.22122,0.031172,0.088534,-0.003029,9.1092e-06,8.8949e-07
0,0.0224,0.75809,1.9862e-20,6.8598e-06,0.22488,0.033758,0.090976,-0.0033259,1.7522e-05,9.8859e-07
0,0.024083,0.79165,-5.9179e-21,1.6099e-05,0.22754,0.036351,0.093272,-0.0036082,2.7713e-05,1.0736e-06
0,0.025827,0.82343,1.042e-20,2.6717e-05,0.22927,0.03894,0.09542,-0.0038732,3.9606e-05,1.1452e-06
0,0.02763,0.8534,2.7214e-20,3.8664e-05,0.23019,0.041509,0.097422,-0.0041191,5.3077e-05,1.2062e-06
0,0.029494,0.88159,-2.0404e-21,5.1903e-05,0.23038,0.044049,0.099277,-0.0043449,6.7982e-05,1.2611e-06
0,0.031417,0.90805,-1.7533e-20,6.6427e-05,0.22995,0.046546,0.10099,-0.0045505,8.4191e-05,1.3154e-06
