x,y,z,U,V,W,urms,vrms,wrms,uv,uw,vw
0,0,-0.6,2.6007e-15,-3.6929e-18,-3.9435e-17,2.1401e-13,8.048e-16,1.0414e-14,1.5779e-29,-1.2183e-28,-2.5503e-31
0,0.0097319,-0.6,1.2524e-05,2.1791e-05,-1.1801e-05,0.051164,0.015701,0.038652,0.00030139,0.00043434,-0.00014744
0,0.038738,-0.6,0.00035658,8.2285e-05,-3.9494e-06,0.23686,0.14373,0.083226,0.0065457,0.0047351,0.0022508
0,0.086455,-0.6,0.68908,0.024081,0.037647,1.6527,0.79694,1.1773,1.0873,0.054154,0.084681
0,0.15195,-0.6,1.0833,0.0024598,0.018523,1.5205,0.88879,1.1408,1.1013,-0.010858,-0.13978
0,0.23396,-0.6,1.2961,0.0027594,0.006954,1.4374,0.86873,1.0207,0.97206,0.016264,-0.043611
0,0.33087,-0.6,1.4434,-0.0015971,-0.0021291,1.3777,0.8291,0.95099,0.84263,0.044044,-0.023403
0,0.44081,-0.6,1.5815,-0.0006011,-0.003577,1.2845,0.79031,0.90369,0.71933,-0.044559,-0.052891
0,0.56163,-0.6,1.7071,0.0016973,-0.012852,1.104,0.72479,0.81913,0.49644,0.12591,0.025214
0,0.69098,-0.6,1.8188,0.0028715,-0.010753,0.96501,0.63655,0.67073,0.37746,0.04157,0.023946
0,0.82635,-0.6,1.9161,-0.00048027,-0.0080599,0.76426,0.57796,0.56317,0.23448,-0.0026406,-0.021852
0,0.9651,-0.6,1.9643,-0.0010664,0.00030981,0.64551,0.53771,0.47861,0.056608,0.028867,0.0011703
0,1.1045,-0.6,1.9496,-0.00062942,-8.7164e-05,0.67804,0.54808,0.50665,-0.12561,-0.021604,-0.0022976
0,1.2419,-0.6,1.8763,-0.0002778,-0.0076172,0.87008,0.59974,0.57789,-0.31847,-0.04628,-0.018364
0,1.3746,-0.6,1.7673,-0.002972,-0.014748,1.0331,0.67463,0.74481,-0.4317,0.10358,0.00092196
0,1.5,-0.6,1.6514,-0.0016022,-0.0040865,1.1802,0.746,0.84817,-0.60643,0.06219,0.024724
0,1.6157,-0.6,1.522,0.0019767,-0.003276,1.3232,0.8045,0.9297,-0.76456,-0.067605,-0.020138
0,1.7193,-0.6,1.3816,-0.00094199,-0.00087292,1.4142,0.83305,0.99983,-0.8345,0.10835,-0.0018315
0,1.809,-0.6,1.2152,-0.00066782,0.010281,1.4853,0.87911,1.0476,-0.94055,0.10871,-0.083816
0,1.8829,-0.6,0.95191,-0.0062171,0.031678,1.5057,0.89959,1.2227,-1.0409,0.077914,-0.18657
0,1.9397,-0.6,0.25445,-0.018117,-0.064054,1.4444,0.66737,0.92017,-0.73179,0.25012,0.070797
