x,y,U,V,urms,vrms,uv
0,0,2.6033e-15,6.1105e-20,3.5677e-14,1.3237e-16,-7.8262e-33
0,2.4369e-05,3.3777e-07,1.1478e-10,0.00014049,8.8085e-08,1.1901e-13
0,9.7476e-05,1.0402e-06,3.547e-10,0.00055041,1.4008e-06,6.8925e-12
0,0.00021932,1.4664e-06,2.427e-09,0.0011971,6.8739e-06,6.8801e-11
0,0.00038988,1.6348e-06,-1.1268e-08,0.002031,2.1057e-05,3.0714e-10
0,0.00060917,1.4256e-06,-3.8071e-08,0.0029925,4.9372e-05,8.3573e-10
0,0.00087717,1.533e-06,-1.1779e-07,0.0040181,9.7648e-05,1.5329e-09
0,0.0011939,1.3143e-06,-2.2194e-07,0.0050478,0.00017129,1.7174e-09
0,0.0015592,1.5729e-06,-4.143e-07,0.0060304,0.00027504,4.1762e-11
0,0.0019733,1.275e-06,-6.307e-07,0.0069275,0.00041235,-5.4163e-09
0,0.0024359,1.5688e-06,-9.7158e-07,0.0077144,0.00058565,-1.6352e-08
0,0.0029472,1.2399e-06,-1.3248e-06,0.0083808,0.00079599,-3.3569e-08
0,0.0035071,1.5882e-06,-1.8319e-06,0.0089281,0.0010438,-5.56e-08
0,0.0041156,1.0062e-06,-2.3299e-06,0.009368,0.0013284,-7.8316e-08
0,0.0047726,8.1133e-07,-3.0118e-06,0.0097185,0.0016494,-9.3808e-08
0,0.0054781,-8.4089e-09,-3.6233e-06,0.010002,0.002006,-9.448e-08
0,0.0062321,-4.2862e-07,-4.3965e-06,0.01024,0.0023989,-7.3737e-08
0,0.0070345,-2.2595e-06,-5.0314e-06,0.01045,0.0028291,-3.3336e-08
0,0.0078853,-4.5585e-06,-5.9099e-06,0.010653,0.0032997,2.8826e-08
0,0.0087845,-1.1608e-05,-6.5728e-06,0.010873,0.0038139,1.17e-07
0,0.0097319,-2.1192e-05,-7.2982e-06,0.011122,0.0043778,2.186e-07
0,0.010728,-3.3765e-05,-7.7873e-06,0.011418,0.0049992,2.9344e-07
0,0.011772,-4.6495e-05,-8.9985e-06,0.011782,0.0056922,2.8385e-07
0,0.012864,-6.8939e-05,-9.7409e-06,0.012266,0.0064735,2.8016e-08
0,0.014004,-0.00010511,-1.1182e-05,0.012928,0.0073657,-7.3533e-07
0,0.015192,-0.00017657,-1.3023e-05,0.013825,0.0083961,-2.5605e-06
0,0.016429,-0.0003216,-2.2451e-05,0.015039,0.0095936,-6.5461e-06
0,0.017713,-0.00055628,-4.1866e-05,0.016564,0.010977,-1.3854e-05
0,0.019045,-0.00081833,-6.8999e-05,0.018301,0.012551,-2.5348e-05
0,0.020425,-0.0010262,-8.9146e-05,0.020188,0.014304,-4.1858e-05
0,0.021852,-0.0011097,-0.00010212,0.022336,0.016225,-6.6099e-05
0,0.023328,-0.0010185,-0.0001185,0.025071,0.018332,-0.00010163
0,0.024851,-0.00063112,-0.0001472,0.028844,0.020642,-0.00015307
0,0.026421,0.00033135,-0.00019259,0.034082,0.023178,-0.00022662
0,0.028039,0.0019684,-0.00024908,0.04096,0.025959,-0.00032849
0,0.029704,0.0043237,-0.00032539,0.049317,0.028984,-0.00046336
0,0.031417,0.0073505,-0.00039568,0.058844,0.03224,-0.00063519
0,0.033177,0.011163,-0.00045903,0.06941,0.035692,-0.00085116
0,0.034984,0.015932,-0.00054429,0.081408,0.039416,-0.0011223
0,0.036837,0.021955,-0.00067308,0.094952,0.043513,-0.0014661
0,0.038738,0.030258,-0.00088426,0.11027,0.048064,-0.0018891
0,0.040686,0.041811,-0.0012265,0.12761,0.052939,-0.0023923
0,0.042681,0.056348,-0.0017307,0.14686,0.058114,-0.0029856
0,0.044722,0.074761,-0.002342,0.16736,0.06365,-0.0036669
0,0.046809,0.097106,-0.0029513,0.18847,0.069464,-0.0044202
0,0.048943,0.1238,-0.0035236,0.20951,0.075379,-0.0052322
0,0.051124,0.15395,-0.0040156,0.23006,0.081208,-0.0060971
0,0.053351,0.18926,-0.0043571,0.24821,0.08706,-0.0070092
0,0.055624,0.23057,-0.0047577,0.26357,0.092829,-0.0079571
0,0.057943,0.27522,-0.0050799,0.2765,0.098142,-0.0089646
0,0.060307,0.3218,-0.0053977,0.28514,0.10332,-0.010066
0,0.062718,0.3702,-0.0056361,0.28986,0.10839,-0.011167
0,0.065174,0.41951,-0.0057687,0.29081,0.11313,-0.012193
0,0.067676,0.46641,-0.0058373,0.29076,0.11744,-0.013045
0,0.070224,0.51029,-0.0055615,0.28998,0.12128,-0.01369
0,0.072816,0.55344,-0.0052263,0.2861,0.1246,-0.014217
0,0.075454,0.59316,-0.0049266,0.28306,0.12731,-0.014655
0,0.078137,0.62933,-0.0046535,0.28043,0.12969,-0.015027
0,0.080865,0.66265,-0.0044241,0.27796,0.1319,-0.015323
0,0.083637,0.69382,-0.0042837,0.27547,0.13398,-0.015575
0,0.086455,0.72323,-0.0041653,0.27304,0.13588,-0.015783
0,0.089316,0.75081,-0.0040405,0.27082,0.13753,-0.015969
0,0.092223,0.77714,-0.0039444,0.26866,0.13891,-0.016102
0,0.095173,0.80199,-0.0038568,0.26675,0.14,-0.0162
0,0.098167,0.82545,-0.003787,0.26505,0.14085,-0.016266
0,0.10121,0.84758,-0.0037493,0.26357,0.14154,-0.016313
0,0.10429,0.86854,-0.0037481,0.26224,0.14213,-0.016349
0,0.10741,0.88837,-0.0037838,0.26107,0.14265,-0.01639
0,0.11058,0.90721,-0.0038462,0.26001,0.14313,-0.016428
0,0.1138,0.92508,-0.0039305,0.25905,0.14357,-0.01646
0,0.11705,0.94218,-0.004013,0.25819,0.14395,-0.016474
0,0.12035,0.95851,-0.0040849,0.25748,0.14426,-0.01648
0,0.12369,0.97419,-0.0041332,0.25689,0.14451,-0.016475
0,0.12708,0.98923,-0.0041694,0.25642,0.1447,-0.016469
0,0.13051,1.0038,-0.0041922,0.25604,0.14485,-0.01646
0,0.13397,1.0178,-0.004219,0.25569,0.14496,-0.016461
0,0.13749,1.0314,-0.0042527,0.25531,0.14504,-0.016455
0,0.14104,1.0445,-0.0043079,0.25492,0.14512,-0.016443
0,0.14464,1.0574,-0.0043687,0.25453,0.14518,-0.016424
0,0.14827,1.0698,-0.0044234,0.25415,0.14523,-0.016407
0,0.15195,1.082,-0.0044519,0.25375,0.14526,-0.016384
0,0.15567,1.0939,-0.0044639,0.25334,0.14529,-0.016362
0,0.15943,1.1056,-0.0044642,0.25295,0.14532,-0.016336
0,0.16324,1.1171,-0.0044772,0.25261,0.14535,-0.016313
0,0.16708,1.1284,-0.0045077,0.25226,0.14538,-0.016284
0,0.17096,1.1395,-0.0045621,0.25192,0.14543,-0.016254
0,0.17489,1.1504,-0.0046199,0.25154,0.14548,-0.016211
0,0.17885,1.1612,-0.0046665,0.25116,0.14551,-0.016167
0,0.18286,1.1717,-0.0046741,0.25076,0.14552,-0.016119
0,0.1869,1.182,-0.004643,0.25036,0.14551,-0.016073
0,0.19098,1.1921,-0.0045767,0.24993,0.14549,-0.016023
0,0.19511,1.2021,-0.0045033,0.2495,0.14545,-0.015981
0,0.19927,1.212,-0.0044242,0.24911,0.1454,-0.015943
0,0.20347,1.2217,-0.0043548,0.24882,0.14531,-0.015913
0,0.20771,1.2312,-0.0042933,0.24855,0.14518,-0.015878
0,0.21199,1.2406,-0.0042546,0.2483,0.145,-0.015842
0,0.21631,1.2498,-0.0042292,0.24802,0.14477,-0.015799
0,0.22066,1.2588,-0.0042325,0.24771,0.14447,-0.01576
0,0.22506,1.2677,-0.0042608,0.24733,0.14415,-0.015723
0,0.22949,1.2764,-0.0043218,0.24693,0.14383,-0.015695
0,0.23396,1.2851,-0.0043924,0.24649,0.14352,-0.015663
0,0.23846,1.2936,-0.0044692,0.24605,0.14322,-0.015629
0,0.243,1.3021,-0.0045403,0.24557,0.14294,-0.01558
0,0.24759,1.3105,-0.0046129,0.24504,0.14267,-0.015515
0,0.2522,1.3189,-0.0046748,0.24442,0.14242,-0.015432
0,0.25686,1.3271,-0.0047378,0.24374,0.14221,-0.015346
0,0.26154,1.3351,-0.0047983,0.24297,0.14204,-0.015254
0,0.26627,1.3431,-0.0048675,0.24215,0.14189,-0.015157
0,0.27103,1.3511,-0.0049339,0.2413,0.14172,-0.015054
0,0.27583,1.3589,-0.0050038,0.24049,0.14152,-0.014957
0,0.28066,1.3668,-0.0050609,0.23967,0.14131,-0.014862
0,0.28553,1.3745,-0.0051139,0.23883,0.14108,-0.014773
0,0.29043,1.3822,-0.0051615,0.23791,0.14087,-0.014684
0,0.29537,1.3899,-0.0052222,0.23692,0.14064,-0.014602
0,0.30034,1.3975,-0.0052827,0.23589,0.14037,-0.014525
0,0.30534,1.4049,-0.0053414,0.23489,0.14006,-0.014449
0,0.31038,1.4123,-0.0053841,0.23394,0.13972,-0.014363
0,0.31545,1.4196,-0.005418,0.23305,0.13937,-0.014273
0,0.32056,1.4268,-0.0054285,0.23222,0.13902,-0.01418
0,0.3257,1.4339,-0.0054291,0.23145,0.13868,-0.014089
0,0.33087,1.4409,-0.0054254,0.23067,0.13835,-0.013991
0,0.33607,1.4479,-0.0054393,0.22988,0.13804,-0.01389
0,0.34131,1.455,-0.0054639,0.22904,0.13775,-0.013783
0,0.34658,1.462,-0.0054938,0.22819,0.13746,-0.013677
0,0.35188,1.469,-0.0055121,0.22732,0.13715,-0.013567
0,0.35721,1.4759,-0.0055147,0.22647,0.13681,-0.013457
0,0.36258,1.4828,-0.0054897,0.22558,0.13646,-0.013346
0,0.36797,1.4896,-0.0054448,0.22469,0.13608,-0.013245
0,0.3734,1.4964,-0.00538,0.22379,0.1357,-0.013148
0,0.37885,1.503,-0.0053068,0.2229,0.13532,-0.013056
0,0.38434,1.5097,-0.0052274,0.22193,0.13497,-0.012961
0,0.38985,1.5162,-0.0051486,0.22092,0.1346,-0.012864
0,0.3954,1.5229,-0.0050624,0.2198,0.13422,-0.012759
0,0.40098,1.5294,-0.004968,0.21865,0.13382,-0.012652
0,0.40658,1.536,-0.0048599,0.21748,0.1334,-0.01254
0,0.41221,1.5425,-0.0047531,0.21635,0.13298,-0.01243
0,0.41788,1.5491,-0.0046489,0.21528,0.13257,-0.012316
0,0.42357,1.5556,-0.004554,0.21427,0.13216,-0.012201
0,0.42929,1.5621,-0.0044616,0.2132,0.13176,-0.012082
