x,y,U,V,urms,vrms,uv
0,0,2.6007e-15,-3.6929e-18,2.1401e-13,8.048e-16,-1.5779e-29
0,0.0024359,4.3227e-06,2.873e-06,0.037355,0.0021349,-2.8812e-05
0,0.0097319,1.2524e-05,2.1791e-05,0.051164,0.015701,-0.00030139
0,0.021852,4.7664e-05,8.4796e-05,0.059659,0.046238,-0.0011371
0,0.038738,0.00035658,8.2285e-05,0.23686,0.14373,-0.0065457
0,0.060307,0.20039,0.015565,1.3784,0.63214,-0.61749
0,0.086455,0.68908,0.024081,1.6527,0.79694,-1.0873
0,0.11705,0.93595,0.0067733,1.498,0.89662,-1.033
0,0.15195,1.0833,0.0024598,1.5205,0.88879,-1.1013
0,0.19098,1.2049,0.00063821,1.4938,0.87777,-0.94713
0,0.23396,1.2961,0.0027594,1.4374,0.86873,-0.97206
0,0.28066,1.3741,0.0010379,1.4168,0.83706,-0.84377
0,0.33087,1.4434,-0.0015971,1.3777,0.8291,-0.84263
0,0.38434,1.5151,-0.0025015,1.3275,0.80139,-0.76783
0,0.44081,1.5815,-0.0006011,1.2845,0.79031,-0.71933
0,0.5,1.6454,0.0017219,1.1807,0.74897,-0.61834
0,0.56163,1.7071,0.0016973,1.104,0.72479,-0.49644
0,0.62539,1.7621,0.0028846,1.0392,0.67924,-0.43762
0,0.69098,1.8188,0.0028715,0.96501,0.63655,-0.37746
0,0.75808,1.8711,0.00056094,0.87966,0.60223,-0.32394
0,0.82635,1.9161,-0.00048027,0.76426,0.57796,-0.23448
0,0.89547,1.9474,0.00090604,0.68213,0.5506,-0.13177
0,0.9651,1.9643,-0.0010664,0.64551,0.53771,-0.056608
0,1.0349,1.9652,-0.00099411,0.64403,0.53773,0.04602
0,1.1045,1.9496,0.00062942,0.67804,0.54808,0.12561
0,1.1736,1.9203,-0.00015365,0.75556,0.57497,0.2251
0,1.2419,1.8763,0.0002778,0.87008,0.59974,0.31847
0,1.309,1.8248,0.0025824,0.95218,0.63151,0.37455
0,1.3746,1.7673,0.002972,1.0331,0.67463,0.4317
0,1.4384,1.7135,0.002001,1.0953,0.71917,0.49441
0,1.5,1.6514,0.0016022,1.1802,0.746,0.60643
0,1.5592,1.588,0.00019446,1.2748,0.78359,0.70797
0,1.6157,1.522,-0.0019767,1.3232,0.8045,0.76456
0,1.6691,1.4502,-0.0019423,1.3745,0.82952,0.84919
0,1.7193,1.3816,0.00094199,1.4142,0.83305,0.8345
0,1.766,1.3043,0.0024173,1.4384,0.86864,0.96118
0,1.809,1.2152,0.00066782,1.4853,0.87911,0.94055
0,1.848,1.0973,0.0023331,1.5199,0.88442,1.0806
0,1.8829,0.95191,0.0062171,1.5057,0.89959,1.0409
0,1.9135,0.7227,0.021954,1.6435,0.80874,1.0822
0,1.9397,0.25445,0.018117,1.4444,0.66737,0.73179
0,1.9613,8.6755e-05,0.00029738,0.31373,0.16667,0.0081945
0,1.9781,6.7093e-05,7.9083e-05,0.061475,0.051164,0.0013141
0,1.9903,1.0709e-05,2.0157e-05,0.051615,0.017788,0.00034473
0,1.9976,2.4361e-06,2.9797e-06,0.04057,0.0029049,4.2781e-05
