x,y,c,U,V,urms,vrms,uv
0,0,0,2.600656e-15,-3.692872e-18,2.140123e-13,8.047987e-16,-1.577949e-29
0,0.009731931,0,1.252351e-05,2.179063e-05,0.05116432,0.01570136,-0.0003013878
0,0.0387383,0,0.0003565829,8.228496e-05,0.2368578,0.1437255,-0.006545699
0,0.08645454,0,0.6890783,0.02408052,1.652678,0.796941,-1.087335
0,0.1519519,0,1.083329,0.002459822,1.520534,0.8887925,-1.101311
0,0.2339556,0,1.296095,0.002759353,1.437359,0.8687321,-0.9720556
0,0.3308694,0,1.44339,-0.001597077,1.377745,0.829099,-0.8426277
0,0.4408071,0,1.581479,-0.0006011019,1.284485,0.7903102,-0.7193284
0,0.5616289,0,1.707099,0.001697255,1.103977,0.7247881,-0.4964439
0,0.690983,0,1.818776,0.002871547,0.965012,0.6365462,-0.3774591
0,0.8263518,0,1.916075,-0.0004802714,0.7642553,0.5779597,-0.2344805
0,0.9651005,0,1.964257,-0.001066353,0.6455056,0.5377131,-0.05660812
0,1.104528,0,1.949568,-0.0006294221,0.6780427,0.5480801,0.1256098
0,1.241922,0,1.876264,-0.000277804,0.8700798,0.5997402,0.3184738
0,1.374607,0,1.767266,-0.002971958,1.033137,0.6746268,0.4317028
0,1.5,0,1.651366,-0.001602194,1.180201,0.7460049,0.6064282
0,1.615661,0,1.521979,0.001976684,1.323233,0.8045024,0.7645645
0,1.71934,0,1.38164,-0.0009419853,1.414236,0.8330548,0.834502
0,1.809017,0,1.215161,-0.0006678179,1.485261,0.8791089,0.9405457
0,1.882948,0,0.9519088,-0.006217103,1.505703,0.8995886,1.040871
0,1.939693,0,0.254448,-0.01811664,1.444441,0.6673696,0.7317949
0,1.978148,0,6.709293e-05,-7.908331e-05,0.06147505,0.05116393,0.001314149
0,1.997564,0,2.436062e-06,-2.979703e-06,0.04057046,0.002904889,4.278127e-05
0.1,0,0,2.660359e-15,-8.344362e-19,2.139317e-13,7.984948e-16,-5.413737e-30
0.1,0.009731931,0,0.0004760444,-3.891552e-05,0.049285,0.01382538,-0.0002136677
0.1,0.0387383,0,0.0008425833,-0.0002740091,0.2257425,0.09258765,-0.0008699091
0.1,0.08645454,0,0.6943769,-0.006748658,1.541763,0.8107308,-1.109859
0.1,0.1519519,0,1.072121,-0.003838157,1.494076,0.8855293,-1.004151
0.1,0.2339556,0,1.297809,-0.00408938,1.433325,0.8621052,-0.7510154
0.1,0.3308694,0,1.443437,-0.003279788,1.354187,0.8095301,-0.737909
0.1,0.4408071,0,1.581204,0.002046201,1.259167,0.8125804,-0.6850295
0.1,0.5616289,0,1.70924,0.003954648,1.062545,0.6949636,-0.4584391
0.1,0.690983,0,1.817956,0.001297936,0.9715602,0.6049904,-0.3648453
0.1,0.8263518,0,1.913261,0.001092733,0.7569147,0.5540515,-0.2093282
0.1,0.9651005,0,1.960813,-0.001293351,0.6481045,0.5634696,-0.05203447
0.1,1.104528,0,1.947007,-0.000995984,0.6824037,0.5561242,0.1169605
0.1,1.241922,0,1.874168,0.001371947,0.8635126,0.5919842,0.3283703
0.1,1.374607,0,1.771368,-0.002989472,1.042134,0.6436002,0.343903
0.1,1.5,0,1.65086,-0.003657877,1.166478,0.7593566,0.6131929
